d_adv_loss, f_slf_loss, f_cyc_loss, f_adv_loss
0.509, 3.2978, 8.9206, 3.4729
0.5155, 3.2746, 8.7767, 3.4089
0.5037, 3.2479, 8.664, 3.4795
0.514, 3.2206, 8.6359, 3.4815
0.5072, 3.2149, 8.652, 3.5303
0.4743, 3.1275, 8.349, 3.7761
0.4959, 3.1207, 8.3741, 3.4981
0.4919, 3.1199, 8.3798, 3.6084
0.4999, 3.1198, 8.3751, 3.5322
0.4968, 3.1224, 8.382, 3.5699
0.5098, 3.0442, 8.6288, 3.598
0.4781, 3.0768, 8.7076, 3.6774
0.4865, 3.0911, 8.6539, 3.7222
0.4937, 3.069, 8.5142, 3.6338
0.4874, 3.0676, 8.4823, 3.6695
0.538, 3.0181, 8.4876, 3.4322
0.5126, 2.9693, 8.3046, 3.572
0.4925, 2.9723, 8.2962, 3.7102
0.4914, 2.9681, 8.3013, 3.7701
0.4928, 2.9521, 8.2252, 3.7823
0.4482, 2.9172, 8.3455, 3.9211
0.4731, 2.8967, 8.1692, 3.6868
0.4701, 2.894, 8.1208, 3.7024
0.4736, 2.8842, 8.0416, 3.7771
0.4815, 2.8797, 8.0265, 3.7328
0.5202, 2.8687, 7.9068, 3.1761
0.519, 2.8248, 7.8592, 3.344
0.5145, 2.8114, 7.7931, 3.4042
0.5237, 2.7972, 7.7712, 3.3884
0.5209, 2.7989, 7.7967, 3.4241
0.514, 2.7503, 7.7591, 3.6815
0.5019, 2.7003, 7.6272, 3.7001
0.496, 2.7103, 7.6975, 3.713
0.493, 2.7146, 7.7181, 3.7466
0.5027, 2.7057, 7.6699, 3.7012
0.4782, 2.6848, 7.6685, 3.5617
0.4691, 2.6799, 7.6519, 3.709
0.4943, 2.6651, 7.6058, 3.5776
0.496, 2.6419, 7.495, 3.6578
0.5034, 2.6453, 7.4971, 3.5875
0.5329, 2.6208, 7.4577, 3.5002
0.516, 2.5656, 7.2581, 3.6421
0.5009, 2.5349, 7.1665, 3.6915
0.4949, 2.5285, 7.1626, 3.7237
0.4952, 2.5246, 7.1767, 3.7265
0.4994, 2.4634, 6.9826, 3.7074
0.4787, 2.4564, 7.077, 3.873
0.5057, 2.4598, 7.1582, 3.7551
0.5108, 2.4684, 7.1819, 3.6613
0.5186, 2.4767, 7.2182, 3.6383
0.522, 2.4919, 7.1652, 3.6227
0.511, 2.4354, 7.0715, 3.5809
0.5052, 2.399, 6.9903, 3.6152
0.5101, 2.3985, 6.9604, 3.553
0.5087, 2.3924, 6.9406, 3.5593
0.5505, 2.3061, 6.7, 3.2773
0.5314, 2.3177, 6.7241, 3.4871
0.5402, 2.351, 6.8398, 3.4625
0.5353, 2.3755, 6.9809, 3.4998
0.535, 2.3658, 6.9352, 3.5267
0.4938, 2.3286, 6.6865, 3.6842
0.5182, 2.3263, 6.6824, 3.5647
0.5263, 2.3229, 6.6792, 3.517
0.5248, 2.2875, 6.6104, 3.5267
0.5322, 2.2772, 6.6284, 3.4906
0.5414, 2.2071, 6.5652, 3.5222
0.5431, 2.1983, 6.5622, 3.5216
0.5416, 2.2001, 6.6464, 3.6169
0.5763, 2.2606, 6.7461, 3.3745
0.5802, 2.2427, 6.6983, 3.3231
0.5195, 2.1179, 6.4889, 3.4728
0.5447, 2.1021, 6.3646, 3.2977
0.5383, 2.0742, 6.2665, 3.3254
0.5376, 2.0492, 6.2259, 3.3456
0.5319, 2.0356, 6.1862, 3.3678
0.5171, 1.9611, 6.336, 3.5576
0.5164, 1.942, 6.131, 3.5693
0.5093, 1.9454, 6.0755, 3.6004
0.5112, 1.9272, 5.9857, 3.5898
0.5132, 1.9303, 5.9614, 3.5856
0.5476, 2.005, 6.3114, 3.3986
0.5274, 1.9882, 6.125, 3.4413
0.5226, 1.9505, 5.9907, 3.4899
0.5259, 1.9262, 5.8913, 3.417
0.5236, 1.9148, 5.862, 3.3946
0.5036, 1.8089, 5.6125, 3.4895
0.5448, 1.8279, 5.6412, 3.3486
0.5564, 1.86, 5.7244, 3.2305
0.558, 1.8714, 5.8098, 3.1967
0.5557, 1.888, 5.9751, 3.1995
0.5346, 1.9354, 6.3094, 3.138
0.5173, 1.8724, 5.9626, 3.3024
0.5411, 1.8298, 5.7631, 3.2104
0.541, 1.797, 5.639, 3.2022
